figure	function	call	n	run	seconds	bytes	language	version
vector	min	List::Util::min(@$x)	10000	0	3.93441382874834e-05	81920	List::Util	1.70
vector	min	List::Util::min(@$x)	10000	1	3.96821557021723e-05	81920	List::Util	1.70
vector	min	List::Util::min(@$x)	10000	2	4.01320664779e-05	81920	List::Util	1.70
vector	min	List::Util::min(@$x)	10000	3	3.98329326084682e-05	81920	List::Util	1.70
vector	min	List::Util::min(@$x)	10000	4	4.0130412324946e-05	81920	List::Util	1.70
vector	min	List::Util::min(@$x)	10000	5	4.08861372205946e-05	81920	List::Util	1.70
vector	min	List::Util::min(@$x)	10000	6	3.79986233181424e-05	81920	List::Util	1.70
vector	max	List::Util::max(@$x)	10000	0	3.97964399688098e-05	81920	List::Util	1.70
vector	max	List::Util::max(@$x)	10000	1	3.97137233189174e-05	81920	List::Util	1.70
vector	max	List::Util::max(@$x)	10000	2	3.88572613398234e-05	81920	List::Util	1.70
vector	max	List::Util::max(@$x)	10000	3	4.01942626289699e-05	81920	List::Util	1.70
vector	max	List::Util::max(@$x)	10000	4	3.78010319728477e-05	81920	List::Util	1.70
vector	max	List::Util::max(@$x)	10000	5	3.97174254707668e-05	81920	List::Util	1.70
vector	max	List::Util::max(@$x)	10000	6	3.82523204005042e-05	81920	List::Util	1.70
vector	mean	mean($x)	10000	0	6.85007036519996e-06	4096	Stats::LikeR	0.321
vector	mean	mean($x)	10000	1	6.84308070762485e-06	4096	Stats::LikeR	0.321
vector	mean	mean($x)	10000	2	6.9484212040122e-06	4096	Stats::LikeR	0.321
vector	mean	mean($x)	10000	3	6.82344623640472e-06	4096	Stats::LikeR	0.321
vector	mean	mean($x)	10000	4	6.84657077557645e-06	4096	Stats::LikeR	0.321
vector	mean	mean($x)	10000	5	6.80755166446461e-06	4096	Stats::LikeR	0.321
vector	mean	mean($x)	10000	6	6.84270974595537e-06	4096	Stats::LikeR	0.321
vector	median	median($x)	10000	0	9.29972704719095e-05	77824	Stats::LikeR	0.321
vector	median	median($x)	10000	1	9.05237699809827e-05	77824	Stats::LikeR	0.321
vector	median	median($x)	10000	2	8.94427299499512e-05	77824	Stats::LikeR	0.321
vector	median	median($x)	10000	3	8.96930694580078e-05	77824	Stats::LikeR	0.321
vector	median	median($x)	10000	4	8.54782436204993e-05	77824	Stats::LikeR	0.321
vector	median	median($x)	10000	5	8.71539115905762e-05	77824	Stats::LikeR	0.321
vector	median	median($x)	10000	6	8.85963439941406e-05	77824	Stats::LikeR	0.321
vector	sd	sd($x)	10000	0	1.45397489033048e-05	0	Stats::LikeR	0.321
vector	sd	sd($x)	10000	1	1.45381955958124e-05	0	Stats::LikeR	0.321
vector	sd	sd($x)	10000	2	1.45755597014925e-05	0	Stats::LikeR	0.321
vector	sd	sd($x)	10000	3	1.45455368426668e-05	0	Stats::LikeR	0.321
vector	sd	sd($x)	10000	4	1.45364163526848e-05	0	Stats::LikeR	0.321
vector	sd	sd($x)	10000	5	1.46574048853632e-05	0	Stats::LikeR	0.321
vector	sd	sd($x)	10000	6	1.45079484626428e-05	0	Stats::LikeR	0.321
vector	var	var($x)	10000	0	1.51585018824017e-05	0	Stats::LikeR	0.321
vector	var	var($x)	10000	1	1.45292993801743e-05	0	Stats::LikeR	0.321
vector	var	var($x)	10000	2	1.46485086697251e-05	0	Stats::LikeR	0.321
vector	var	var($x)	10000	3	1.45221824076638e-05	0	Stats::LikeR	0.321
vector	var	var($x)	10000	4	1.46040275915345e-05	0	Stats::LikeR	0.321
vector	var	var($x)	10000	5	1.45453125683229e-05	0	Stats::LikeR	0.321
vector	var	var($x)	10000	6	1.46129238071726e-05	0	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	10000	0	0.000156384247999925	81920	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	10000	1	0.000143142846914438	81920	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	10000	2	0.000137933095296224	81920	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	10000	3	0.000142996127788837	81920	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	10000	4	0.000141290517953726	81920	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	10000	5	0.000136068889072963	81920	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	10000	6	0.000140854290553502	81920	Stats::LikeR	0.321
vector	cor	cor($x, $y)	10000	0	3.11518615146853e-05	131072	Stats::LikeR	0.321
vector	cor	cor($x, $y)	10000	1	2.96301311916775e-05	131072	Stats::LikeR	0.321
vector	cor	cor($x, $y)	10000	2	3.02549135887017e-05	131072	Stats::LikeR	0.321
vector	cor	cor($x, $y)	10000	3	2.99664794421587e-05	131072	Stats::LikeR	0.321
vector	cor	cor($x, $y)	10000	4	3.04933321678032e-05	131072	Stats::LikeR	0.321
vector	cor	cor($x, $y)	10000	5	2.92687189011347e-05	131072	Stats::LikeR	0.321
vector	cor	cor($x, $y)	10000	6	2.98439510284908e-05	131072	Stats::LikeR	0.321
vector	cov	cov($x, $y)	10000	0	3.41449465070452e-05	131072	Stats::LikeR	0.321
vector	cov	cov($x, $y)	10000	1	3.33402838025774e-05	131072	Stats::LikeR	0.321
vector	cov	cov($x, $y)	10000	2	3.47392312411604e-05	131072	Stats::LikeR	0.321
vector	cov	cov($x, $y)	10000	3	3.33950437348464e-05	131072	Stats::LikeR	0.321
vector	cov	cov($x, $y)	10000	4	3.43367738543816e-05	131072	Stats::LikeR	0.321
vector	cov	cov($x, $y)	10000	5	3.36042472294399e-05	131072	Stats::LikeR	0.321
vector	cov	cov($x, $y)	10000	6	3.3646821975708e-05	131072	Stats::LikeR	0.321
vector	skew	skew($x)	10000	0	9.88960266113281e-05	0	Stats::LikeR	0.321
vector	skew	skew($x)	10000	1	9.76721445719401e-05	0	Stats::LikeR	0.321
vector	skew	skew($x)	10000	2	9.84782264346168e-05	0	Stats::LikeR	0.321
vector	skew	skew($x)	10000	3	9.76153782435826e-05	0	Stats::LikeR	0.321
